Date,BCFF11,BBPO11,HGLG11,ITSA4,TRPL4,TAEE4,BBAS3,Total,Valor Aplicado
2020-02-17,789.1000366210938,0.0,0.0,0.0,0.0,0.0,0.0,789.1000366210938,972.8000000000002
2020-02-18,789.1000366210938,0.0,0.0,0.0,0.0,0.0,0.0,789.1000366210938,972.8000000000002
2020-02-19,789.1000366210938,0.0,0.0,0.0,0.0,0.0,0.0,789.1000366210938,972.8000000000002
2020-02-20,789.1000366210938,0.0,0.0,0.0,0.0,0.0,0.0,789.1000366210938,972.8000000000002
2020-02-21,789.1000366210938,0.0,0.0,0.0,0.0,0.0,0.0,789.1000366210938,972.8000000000002
2020-02-27,789.1000366210938,800.7499694824219,0.0,0.0,0.0,0.0,0.0,1589.8500061035156,1772.8500000000001
2020-02-28,789.1000366210938,807.4500274658203,0.0,0.0,0.0,0.0,0.0,1596.550064086914,1772.8500000000001
2020-03-02,868.0100402832031,805.1499938964844,356.6199951171875,0.0,0.0,0.0,0.0,2029.780029296875,2226.26
2020-03-03,868.0100402832031,1621.4999389648438,358.70001220703125,0.0,0.0,0.0,0.0,2848.209991455078,3028.76
2020-03-04,868.0100402832031,1624.4999694824219,364.8999938964844,0.0,0.0,0.0,0.0,2857.4100036621094,3028.76
2020-03-05,868.0100402832031,1620.0,361.0,0.0,0.0,0.0,0.0,2849.010040283203,3028.76
2020-03-06,1025.8300476074219,1621.6000366210938,356.0799865722656,971.0400352478027,0.0,0.0,0.0,3974.550106048584,4195.02
2020-03-09,1025.8300476074219,1552.5,336.8999938964844,909.7199935913086,0.0,0.0,0.0,3824.950035095215,4195.02
2020-03-10,1025.8300476074219,1567.5,339.8399963378906,929.0400352478027,0.0,0.0,0.0,3862.2100791931152,4195.02
2020-03-11,1025.8300476074219,1523.9999389648438,335.0,873.599967956543,0.0,0.0,0.0,3758.4299545288086,4195.02
2020-03-12,1025.8300476074219,1420.0,308.20001220703125,778.6800384521484,0.0,0.0,0.0,3532.7100982666016,4195.02
2020-03-13,1025.8300476074219,1478.9999389648438,311.5400085449219,856.7999839782715,0.0,0.0,0.0,3673.169979095459,4195.02
2020-03-16,1025.8300476074219,1420.0,292.0,764.400032043457,0.0,0.0,0.0,3502.230079650879,4195.02
2020-03-17,1025.8300476074219,1416.0000610351562,290.0,801.3599967956543,0.0,0.0,0.0,3533.1901054382324,4195.02
2020-03-18,1025.8300476074219,1270.0,234.10000610351562,761.8799743652344,0.0,0.0,0.0,3291.810028076172,4195.02
2020-03-19,1025.8300476074219,2194.5299377441406,259.2200012207031,1769.5200462341309,833.5200386047363,0.0,0.0,6082.620071411133,6795.95
2020-03-20,1025.8300476074219,2210.0,272.0,1678.6200847625732,828.4600105285645,0.0,0.0,6014.91014289856,6795.95
2020-03-23,2367.3001098632812,2108.0,266.7799987792969,1521.0600423812866,800.859992980957,0.0,0.0,7064.000144004822,7939.86
2020-03-24,2367.3001098632812,2156.9599533081055,280.0,1630.1399383544922,830.7599754333496,0.0,0.0,7265.1599769592285,7939.86
2020-03-25,2367.3001098632812,2254.2001037597656,305.0199890136719,1739.2199306488037,878.140007019043,0.0,0.0,7543.880140304565,7939.86
2020-03-26,2367.3001098632812,2286.330093383789,317.7799987792969,1813.9599075317383,936.1000175476074,0.0,0.0,7721.470127105713,7939.86
2020-03-27,2367.3001098632812,2278.0,321.7799987792969,1717.0,908.0399894714355,0.0,0.0,7592.120098114014,7939.86
2020-03-30,2367.3001098632812,2349.399948120117,318.0,1781.6399383544922,891.0200386047363,0.0,0.0,7707.360034942627,7939.86
2020-03-31,2367.3001098632812,2358.240020751953,316.1000061035156,1771.5400924682617,872.6199684143066,0.0,0.0,7685.800197601318,7939.86
2020-04-01,2367.3001098632812,2261.0,308.0,1668.5200462341309,839.0399894714355,0.0,0.0,7443.860145568848,7939.86
2020-04-02,2367.3001098632812,2284.9700622558594,306.0,1690.7399768829346,876.2999649047852,0.0,0.0,7525.31011390686,7939.86
2020-04-03,2367.3001098632812,2244.0,304.0,1638.2199306488037,894.7000350952148,0.0,0.0,7448.2200756073,7939.86
2020-04-06,2367.3001098632812,2293.2998962402344,311.1400146484375,1759.4200077056885,910.7999649047852,0.0,0.0,7641.959993362427,7939.86
2020-04-07,2367.3001098632812,2295.340072631836,325.0,1811.9400539398193,890.1000175476074,0.0,0.0,7689.680253982544,7939.86
2020-04-08,2367.3001098632812,2321.6901245117188,335.6000061035156,1882.6399383544922,876.2999649047852,0.0,0.0,7783.530143737793,7939.86
2020-04-09,2367.3001098632812,2362.659927368164,340.4800109863281,1866.4799537658691,882.2800140380859,0.0,0.0,7819.2000160217285,7939.86
2020-04-13,2367.3001098632812,2363.169906616211,341.55999755859375,1916.9799537658691,881.359992980957,0.0,0.0,7870.369960784912,7939.86
2020-04-14,2367.3001098632812,2389.350051879883,347.70001220703125,1939.2000770568848,919.5399894714355,0.0,0.0,7963.090240478516,7939.86
2020-04-15,2367.3001098632812,2525.4000549316406,347.6000061035156,2287.8000469207764,925.0600280761719,0.0,0.0,8453.160245895386,8498.259999999998
2020-04-16,2367.3001098632812,2553.659912109375,353.79998779296875,2218.9201126098633,917.7000350952148,0.0,0.0,8411.380157470703,8498.259999999998
2020-04-17,2367.3001098632812,2588.7601318359375,356.0,2248.4400844573975,879.0600280761719,0.0,0.0,8439.560354232788,8498.259999999998
2020-04-20,2367.3001098632812,2583.0,354.0,2206.620065689087,871.7000350952148,0.0,0.0,8382.620210647583,8498.259999999998
2020-04-22,2367.3001098632812,2592.0,359.9800109863281,2204.1600093841553,900.6799964904785,0.0,0.0,8424.120126724243,8498.259999999998
2020-04-23,2367.3001098632812,2610.0,363.9599914550781,2174.640037536621,906.6599578857422,0.0,0.0,8422.560096740723,8498.259999999998
2020-04-24,2367.3001098632812,2574.179901123047,354.20001220703125,2066.3999061584473,863.8800315856934,0.0,0.0,8225.9599609375,8498.259999999998
